phase,scenario,seed,family,tuning_value,total_cost,patients_lost,completion_service_level,max_requested_capacity,max_active_capacity,shared_budget,rng_sha256
discovery,scheduled_rotation_reverse,99400000,forecast_iot,0.0,3476501875.328552,3171.0,0.4192340915634898,0.0,0.0,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,forecast_iot,0.25,3464949738.9001274,3137.0,0.42456089835876765,7.875000607967376,7.875000343311196,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,forecast_iot,0.5,3343197367.5275335,2895.0,0.4594010941549093,15.750000625289978,15.750000245368808,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,forecast_iot,0.75,3211332276.9734807,2631.0,0.4987042902389865,23.62500047832728,23.625000157641296,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,forecast_iot,1.0,3093942902.1112585,2396.0,0.5326806795277857,31.500000000000018,31.49999999586931,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,graph_forecast_iot,0.0,3476501875.328552,3171.0,0.4192340915634898,0.0,0.0,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,graph_forecast_iot,0.25,3465403571.6709185,3139.0,0.42427296285632016,7.875000616908072,7.875000242437333,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,graph_forecast_iot,0.5,3363208254.4958687,2936.0,0.4543622228620789,15.750000719726089,15.750000356874411,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,graph_forecast_iot,0.75,3232344590.412937,2681.0,0.4923697091851425,23.625000547617677,23.625000257703977,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,graph_forecast_iot,1.0,3088896405.495757,2416.0,0.5321048085228909,31.500000000000014,31.499999983650696,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400001,static_ot,0.0,3781909168.325191,3465.0,0.401541695865452,0.0,0.0,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,static_ot,0.0625,3777455761.5946774,3445.0,0.4050455501051156,7.875000000000002,7.874999999999992,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,static_ot,0.125,3614205173.9336348,3254.0,0.43756131744919413,15.750000000000004,15.749999999999984,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,static_ot,0.1875,3605745677.6604156,3216.0,0.4442887175893483,23.624999999999996,23.624999999999982,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,static_ot,0.25,3460846320.7904196,2988.0,0.47806587245970567,31.500000000000007,31.499999999999968,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,forecast_iot,0.0,3781909168.325191,3465.0,0.401541695865452,0.0,0.0,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,forecast_iot,0.25,3773407430.845158,3435.0,0.4065872459705676,7.875000375509264,7.87500017805007,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,forecast_iot,0.5,3668129314.118328,3222.0,0.43644008409250173,15.750000543147326,15.750000296283634,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,forecast_iot,0.75,3606583989.9391685,3063.0,0.45858444288717587,23.625000635907057,23.62500012237272,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,forecast_iot,1.0,3470608421.0597305,2803.0,0.4979677645409951,31.500000000000014,31.49999996589641,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,graph_forecast_iot,0.0,3781909168.325191,3465.0,0.401541695865452,0.0,0.0,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,graph_forecast_iot,0.25,3779294577.5693803,3445.0,0.4050455501051156,7.875000715255736,7.875000374145723,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,graph_forecast_iot,0.5,3693980970.9063582,3270.0,0.42999299229152066,15.750000623613596,15.750000328391447,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,graph_forecast_iot,0.75,3588984336.3399053,3060.0,0.46026629292221444,23.625000447733328,23.62500016539831,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400001,graph_forecast_iot,1.0,3463248918.189109,2825.0,0.4967063770147162,31.500000000000014,31.49999998056866,31.500000000000007,e67be4276b9d2776fe44093af153d4515dc09fbfd637e2c70cb8106751de2bd5
discovery,scheduled_rotation_reverse,99400002,static_ot,0.0,3428223195.665377,3082.0,0.41704936854190583,0.0,0.0,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,static_ot,0.0625,3387469428.5648713,3016.0,0.42738231917336394,7.875000000000002,7.874999999999992,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,static_ot,0.125,3226311721.6867566,2826.0,0.46053386911595867,15.750000000000004,15.749999999999984,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,static_ot,0.1875,3214281832.1176186,2787.0,0.4668484500574053,23.624999999999996,23.624999999999982,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,static_ot,0.25,3056169113.4001765,2532.0,0.505166475315729,31.500000000000007,31.499999999999968,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,forecast_iot,0.0,3428223195.665377,3082.0,0.41704936854190583,0.0,0.0,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,forecast_iot,0.25,3391602391.8797383,3018.0,0.4269517795637199,7.875000607967377,7.875000327030224,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,forecast_iot,0.5,3282683634.2038574,2803.0,0.4569460390355913,15.750000451505182,15.750000305903006,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,forecast_iot,0.75,3130548937.4964533,2524.0,0.49756027554535015,23.625000505149366,23.625000284883555,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,forecast_iot,1.0,2981876207.261976,2253.0,0.5387485648679678,31.500000000000014,31.499999999461973,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,graph_forecast_iot,0.0,3428223195.665377,3082.0,0.41704936854190583,0.0,0.0,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,graph_forecast_iot,0.25,3390858941.5548716,3018.0,0.4269517795637199,7.87500041127205,7.875000168412934,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,graph_forecast_iot,0.5,3300553072.6075935,2847.0,0.45091848450057403,15.750000657141209,15.750000319080895,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,graph_forecast_iot,0.75,3121278481.21508,2541.0,0.4965556831228473,23.625000590644778,23.62500032576254,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_reverse,99400002,graph_forecast_iot,1.0,2980582010.5756254,2305.0,0.5351607347876005,31.500000000000014,31.499999977036317,31.500000000000007,7b786d9260f29186d1a5df180f38c266657dfdf9e0ea9641d9379e6d5682891f
discovery,scheduled_rotation_slower_noisy,99400000,static_ot,0.0,3899570297.282818,3541.0,0.3742490442381212,0.0,0.0,31.500000000000007,0fe0fc7bbcd7a15a71100fc0f6c78a688edb75102c24dc06a9fc30d3456614e6
