scenario,seed,safety_multiplier,fixed_mean_lead,stochastic_cost,fixed_mean_cost,cost_difference,gap_fraction,stochastic_completion_service_level,fixed_completion_service_level,stochastic_patients_lost,fixed_patients_lost,rng_end_state_match
routing_compound_regional_stress,99200009,1.25,2,3891725988.083146,3881773519.2483315,9952468.834814548,0.0025638973488442338,0.39090909090909093,0.3911888111888112,3617.0,3624.0,True
routing_compound_regional_stress,99200010,1.25,2,3348003449.1130767,3340460547.9964767,7542901.116600037,0.0022580422693882964,0.42348264791316315,0.42455282066962235,3127.0,3121.0,True
routing_compound_regional_stress,99200011,1.25,2,4200130730.711691,4205058577.516454,-4927846.804763317,-0.0011718854122773595,0.3660427807486631,0.3660427807486631,3900.0,3900.0,True
routing_compound_regional_stress,99200012,1.25,2,2658428979.770131,2656041141.3420234,2387838.4281077385,0.0008990216269395701,0.4917464509739188,0.4917464509739188,2386.0,2386.0,True
routing_compound_regional_stress,99200013,1.25,2,3765624076.644627,3753212925.5439577,12411151.100669384,0.003306807086856289,0.3879370385847611,0.38765844825184564,3461.0,3462.0,True
routing_compound_regional_stress,99200014,1.25,2,3444649448.911627,3442558753.00354,2090695.9080867767,0.0006073087078797713,0.4138133725202057,0.4138133725202057,3185.0,3185.0,True
routing_compound_regional_stress,99200015,1.25,2,3691545727.85156,3686643084.6067414,4902643.244818687,0.0013298394046576544,0.399018137188054,0.399290876858039,3331.0,3330.0,True
routing_compound_regional_stress,99200016,1.25,2,3673356606.2208323,3670755166.999843,2601439.2209892273,0.0007086931987118656,0.3866592085023074,0.3866592085023074,3341.0,3341.0,True
routing_compound_regional_stress,99200017,1.25,2,3458431681.006123,3454748986.948017,3682694.0581059456,0.001065980212171449,0.407098121085595,0.40724724127646883,3202.0,3201.0,True
routing_compound_regional_stress,99200018,1.25,2,3661563290.529209,3658494640.253625,3068650.275584221,0.000838774025201657,0.39462636439966414,0.39462636439966414,3393.0,3393.0,True
routing_compound_regional_stress,99200019,1.25,2,3999609635.4237995,3995313229.27226,4296406.151539326,0.0010753615311212806,0.3581475583864119,0.3581475583864119,3732.0,3732.0,True
routing_compound_regional_stress,99200020,1.25,2,3281315696.366431,3280554891.151021,760805.2154102325,0.00023191357579854278,0.42577072732714755,0.42577072732714755,3036.0,3036.0,True
routing_compound_regional_stress,99200021,1.25,2,3766950970.7092233,3754316108.342587,12634862.366636276,0.003365423156180147,0.37882547559966917,0.37882547559966917,3456.0,3456.0,True
routing_compound_regional_stress,99200022,1.25,2,3237308795.0936103,3230106150.91378,7202644.179830074,0.00222984751686643,0.4271665642286417,0.4271665642286417,3009.0,3009.0,True
routing_compound_regional_stress,99200023,1.25,2,3296534331.5589437,3282558358.914745,13975972.644198895,0.0042576463587442595,0.4304197382277719,0.4311719572739582,3039.0,3033.0,True
