scenario,state_id,state_seed,epoch,arm,shift,world_seed,remaining_cost,completion_service_level,patients_lost,manufacturing_ineligibility
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200055,1237768621.8214576,0.5210651828298887,1113.0,0.0781140042223786
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200056,1163113853.1727676,0.5502711722987067,1050.0,0.0759493670886076
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200057,1277759479.072145,0.507416081186573,1145.0,0.09058988764044944
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200058,1243061322.5755994,0.521827825377397,1124.0,0.10139860139860139
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200059,1078879404.1916595,0.5588491717523976,947.0,0.085
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200060,1320641907.5014288,0.496186117467582,1184.0,0.08643710470836262
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200061,1226544278.1702156,0.5244672454617206,1085.0,0.06811797752808989
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200062,1042295755.2524991,0.5671447196870926,916.0,0.07420494699646643
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200063,1200660487.9399128,0.5414593698175788,1113.0,0.0824524312896406
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200000,1233051453.044301,0.5304703476482617,1114.0,0.09269662921348315
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200001,1276266508.6260252,0.48995831754452446,1120.0,0.09071729957805907
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200002,957243920.3152237,0.6019283746556474,851.0,0.07294617563739376
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200003,1221608494.3342912,0.5227827502034175,1129.0,0.08898305084745763
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200004,1126851587.455289,0.561994034938219,1006.0,0.0710267229254571
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200005,1255954654.9294276,0.5001929756850637,1111.0,0.08643710470836262
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200006,1049470862.0053934,0.5714285714285714,917.0,0.07540521494009866
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200007,1119711406.6701884,0.5438002539145155,1030.0,0.09449929478138223
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200008,1202179414.0898325,0.5485355648535565,1062.0,0.07218683651804671
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200009,1363242903.847724,0.4694027116159766,1224.0,0.10091100210231255
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200010,1164054089.2026277,0.5455298013245033,1049.0,0.0713276836158192
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200011,1152588792.9346988,0.5353371242891958,994.0,0.07167955024595925
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200012,1044587633.5103108,0.5757311217808817,910.0,0.06765327695560254
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200013,1208612473.2722492,0.4980694980694981,1060.0,0.08398576512455516
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200014,1475476148.6926703,0.43498817966903075,1289.0,0.1015406162464986
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200015,1028566266.0020127,0.5853988283010365,916.0,0.07193732193732194
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200016,1221399398.7609122,0.48674878686076894,1037.0,0.08210526315789474
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200017,1005154678.2945942,0.5541666666666667,855.0,0.056657223796033995
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200018,1030023778.5570912,0.565677966101695,892.0,0.05732484076433121
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200019,1017467425.7211742,0.5815696649029982,880.0,0.06643109540636043
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200020,1078906588.4885411,0.5391268533772653,919.0,0.07627118644067797
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200021,1371914266.7473814,0.47668393782383417,1235.0,0.09776536312849161
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200022,1237209514.2969527,0.5310204081632653,1106.0,0.0769774011299435
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200023,1302205387.220623,0.4803381109886071,1119.0,0.07551164431898377
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200024,1128976551.6322038,0.5444959932517925,1029.0,0.08726249120337791
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200025,1187475141.645102,0.5333059210526315,1072.0,0.0839802399435427
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200026,1148239929.3195295,0.5372825186412593,1014.0,0.08597603946441155
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200027,1180921359.129252,0.5067385444743935,1012.0,0.07459535538353272
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200028,1374677900.8973062,0.49569303054032887,1280.0,0.10816468946266573
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_-0.10,-0.1,98200029,1364363320.66279,0.49236058059587473,1232.0,0.09078114004222379
