training_seed,scenario,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,total_cost,true_cost_advantage,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
60,routing_persistent_hotspot_cluster1,31,remaining,21,98003110,3,1,specimen_transfer:+1x0.05,1120011273.1393034,3767328.8533320427,0.514312469813821,994.3333333333334,0.06147967992638983
60,routing_persistent_hotspot_cluster1,31,remaining,21,98003110,3,2,specimen_transfer:-1x0.05,1125566242.519189,-1787640.5265533924,0.5130603061083784,1002.3333333333334,0.06274270074487519
60,routing_persistent_hotspot_cluster1,31,remaining,21,98003110,3,3,specimen_transfer:+1x0.1,1118850979.7295997,4927622.263035774,0.5144919256619277,992.3333333333334,0.060950088603592335
60,routing_persistent_hotspot_cluster1,31,remaining,21,98003110,3,4,specimen_transfer:-1x0.1,1126802194.421339,-3023592.4287035465,0.5122860396550268,1004.6666666666666,0.06308521166505852
60,routing_persistent_hotspot_cluster1,37,4,4,98003700,3,0,mdl2,188676449.94511977,0.0,0.5283420345029154,165.66666666666666,0.053592861908191236
60,routing_persistent_hotspot_cluster1,37,4,4,98003700,3,1,specimen_transfer:+1x0.05,187687990.58336273,988459.36175704,0.5283420345029154,164.66666666666666,0.053592861908191236
60,routing_persistent_hotspot_cluster1,37,4,4,98003700,3,2,specimen_transfer:-1x0.05,188781635.70055118,-105185.75543141365,0.5283420345029154,166.66666666666666,0.053592861908191236
60,routing_persistent_hotspot_cluster1,37,4,4,98003700,3,3,specimen_transfer:+1x0.1,187365374.19468856,1311075.7504312098,0.5283420345029154,164.66666666666666,0.053592861908191236
60,routing_persistent_hotspot_cluster1,37,4,4,98003700,3,4,specimen_transfer:-1x0.1,188736755.53564635,-60305.59052658081,0.5285752980943075,166.66666666666666,0.053592861908191236
60,routing_persistent_hotspot_cluster1,37,remaining,15,98003710,3,0,mdl2,805170402.0594888,0.0,0.5241872181710611,708.6666666666666,0.059851824258603914
60,routing_persistent_hotspot_cluster1,37,remaining,15,98003710,3,1,specimen_transfer:+1x0.05,804070634.7395798,1099767.3199089766,0.5245528775682587,706.3333333333334,0.05922397932083162
60,routing_persistent_hotspot_cluster1,37,remaining,15,98003710,3,2,specimen_transfer:-1x0.05,804266264.1220952,904137.9373935461,0.524185340490039,709.6666666666666,0.059857737097446545
60,routing_persistent_hotspot_cluster1,37,remaining,15,98003710,3,3,specimen_transfer:+1x0.1,803382294.7788091,1788107.2806797028,0.5246772092852797,705.6666666666666,0.0590147305240122
60,routing_persistent_hotspot_cluster1,37,remaining,15,98003710,3,4,specimen_transfer:-1x0.1,804312576.4452235,857825.6142653227,0.5238799692703296,710.6666666666666,0.06035574133278094
