role,checkpoint_variant,training_seed,scenario,step,configured_horizon,candidate_index,candidate_label,executed_action_id,policy_executed_action_id,policy_candidate_index,true_cost_advantage,true_best_index,critic_q,critic_best_index,gradient_score,gradient_best_index,policy_linf_to_candidate
control,pretrain,60,routing_persistent_hotspot_cluster1,18,4,4,specimen_transfer:-1x0.1,1f56eb209ac9d3b1,8d645b30efef012f,0,-1648784.7193622887,3,-0.7614948153495789,3,-0.0006689508445560932,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,18,remaining,0,mdl2,8d645b30efef012f,8d645b30efef012f,0,0.0,3,-0.7609226703643799,3,0.0,3,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,18,remaining,1,specimen_transfer:+1x0.05,667f54db89876634,8d645b30efef012f,0,2886831.502090454,3,-0.7606611251831055,3,0.0003344753058627248,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,18,remaining,2,specimen_transfer:-1x0.05,0f03c118acfe7ce5,8d645b30efef012f,0,1851728.0673270226,3,-0.7611842155456543,3,-0.0003344753058627248,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,18,remaining,3,specimen_transfer:+1x0.1,71ca1d53abe427d7,8d645b30efef012f,0,5134376.361310959,3,-0.7603501081466675,3,0.0006689506117254496,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,18,remaining,4,specimen_transfer:-1x0.1,1f56eb209ac9d3b1,8d645b30efef012f,0,2927299.990114689,3,-0.7614948153495789,3,-0.0006689508445560932,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,25,4,0,mdl2,d2c8dbd11145a167,0539b45cc97b2c96,-1,0.0,1,-0.5671862363815308,4,-0.00047120789531618357,4,0.020333262160420418
control,pretrain,60,routing_persistent_hotspot_cluster1,25,4,1,specimen_transfer:+1x0.05,53c137a3cef4487d,0539b45cc97b2c96,-1,2318355.2234565318,1,-0.56695556640625,4,-0.0005869482993148267,4,0.047864772379398346
control,pretrain,60,routing_persistent_hotspot_cluster1,25,4,2,specimen_transfer:-1x0.05,a38d86182b1dd64a,0539b45cc97b2c96,-1,-3379374.6595503986,1,-0.5671951174736023,4,-0.00035546720027923584,4,0.06767745316028595
control,pretrain,60,routing_persistent_hotspot_cluster1,25,4,3,specimen_transfer:+1x0.1,b1222da5588bc7c2,0539b45cc97b2c96,-1,2184393.7151937485,1,-0.5672563314437866,4,-0.0007026884704828262,4,0.09541378915309906
control,pretrain,60,routing_persistent_hotspot_cluster1,25,4,4,specimen_transfer:-1x0.1,7e7729443b85f9a6,0539b45cc97b2c96,-1,-3742322.162426114,1,-0.566650390625,4,-0.00023972755298018456,4,0.11571667343378067
control,pretrain,60,routing_persistent_hotspot_cluster1,25,remaining,0,mdl2,d2c8dbd11145a167,0539b45cc97b2c96,-1,0.0,1,-0.5671862363815308,4,-0.00047120789531618357,4,0.020333262160420418
control,pretrain,60,routing_persistent_hotspot_cluster1,25,remaining,1,specimen_transfer:+1x0.05,53c137a3cef4487d,0539b45cc97b2c96,-1,2139447.9089496136,1,-0.56695556640625,4,-0.0005869482993148267,4,0.047864772379398346
control,pretrain,60,routing_persistent_hotspot_cluster1,25,remaining,2,specimen_transfer:-1x0.05,a38d86182b1dd64a,0539b45cc97b2c96,-1,364097.10836315155,1,-0.5671951174736023,4,-0.00035546720027923584,4,0.06767745316028595
control,pretrain,60,routing_persistent_hotspot_cluster1,25,remaining,3,specimen_transfer:+1x0.1,b1222da5588bc7c2,0539b45cc97b2c96,-1,2058949.814934492,1,-0.5672563314437866,4,-0.0007026884704828262,4,0.09541378915309906
control,pretrain,60,routing_persistent_hotspot_cluster1,25,remaining,4,specimen_transfer:-1x0.1,7e7729443b85f9a6,0539b45cc97b2c96,-1,-1137204.7756211758,1,-0.566650390625,4,-0.00023972755298018456,4,0.11571667343378067
control,pretrain,60,routing_persistent_hotspot_cluster1,31,4,0,mdl2,99bd2d5e2f258026,76de76dabe555386,-1,0.0,3,-0.6497867107391357,3,-0.0016832215478643775,3,0.052400317043066025
control,pretrain,60,routing_persistent_hotspot_cluster1,31,4,1,specimen_transfer:+1x0.05,0baf42ceb1eab94f,76de76dabe555386,-1,2390414.740946889,3,-0.6477143168449402,3,0.0002013508346863091,3,0.039437323808670044
control,pretrain,60,routing_persistent_hotspot_cluster1,31,4,2,specimen_transfer:-1x0.05,c82604734c035c8f,76de76dabe555386,-1,477325.7607047558,3,-0.6515682339668274,3,-0.003567793872207403,3,0.08451122790575027
control,pretrain,60,routing_persistent_hotspot_cluster1,31,4,3,specimen_transfer:+1x0.1,c0950aa5ed2e563f,76de76dabe555386,-1,2575140.7114994526,3,-0.6464234590530396,3,0.0020859234500676394,3,0.078703872859478
control,pretrain,60,routing_persistent_hotspot_cluster1,31,4,4,specimen_transfer:-1x0.1,a909f80754504708,76de76dabe555386,-1,698151.56656304,3,-0.652856171131134,3,-0.005452366545796394,3,0.12261836975812912
control,pretrain,60,routing_persistent_hotspot_cluster1,31,remaining,0,mdl2,99bd2d5e2f258026,76de76dabe555386,-1,0.0,3,-0.6497867107391357,3,-0.0016832215478643775,3,0.052400317043066025
control,pretrain,60,routing_persistent_hotspot_cluster1,31,remaining,1,specimen_transfer:+1x0.05,0baf42ceb1eab94f,76de76dabe555386,-1,3767328.8533320427,3,-0.6477143168449402,3,0.0002013508346863091,3,0.039437323808670044
control,pretrain,60,routing_persistent_hotspot_cluster1,31,remaining,2,specimen_transfer:-1x0.05,c82604734c035c8f,76de76dabe555386,-1,-1787640.5265533924,3,-0.6515682339668274,3,-0.003567793872207403,3,0.08451122790575027
control,pretrain,60,routing_persistent_hotspot_cluster1,31,remaining,3,specimen_transfer:+1x0.1,c0950aa5ed2e563f,76de76dabe555386,-1,4927622.263035774,3,-0.6464234590530396,3,0.0020859234500676394,3,0.078703872859478
control,pretrain,60,routing_persistent_hotspot_cluster1,31,remaining,4,specimen_transfer:-1x0.1,a909f80754504708,76de76dabe555386,-1,-3023592.4287035465,3,-0.652856171131134,3,-0.005452366545796394,3,0.12261836975812912
control,pretrain,60,routing_persistent_hotspot_cluster1,37,4,0,mdl2,a51f9dbc2a10ba4b,a01ab85962d78de0,-1,0.0,3,-0.43546169996261597,4,0.0011875088093802333,4,0.0541185699403286
control,pretrain,60,routing_persistent_hotspot_cluster1,37,4,1,specimen_transfer:+1x0.05,45637defabe96a1b,a01ab85962d78de0,-1,988459.36175704,3,-0.4355989694595337,4,0.0011303657665848732,4,0.0385342612862587
control,pretrain,60,routing_persistent_hotspot_cluster1,37,4,2,specimen_transfer:-1x0.05,acae59a7cb16e290,a01ab85962d78de0,-1,-105185.75543141365,3,-0.43540358543395996,4,0.0012446516193449497,4,0.08121607452630997
control,pretrain,60,routing_persistent_hotspot_cluster1,37,4,3,specimen_transfer:+1x0.1,f9126f61041e82b9,a01ab85962d78de0,-1,1311075.7504312098,3,-0.43581050634384155,4,0.001073222840204835,4,0.07917216420173645
control,pretrain,60,routing_persistent_hotspot_cluster1,37,4,4,specimen_transfer:-1x0.1,a11f7fc1e0b107bf,a01ab85962d78de0,-1,-60305.59052658081,3,-0.435322105884552,4,0.0013017941964790225,4,0.12082783877849579
control,pretrain,60,routing_persistent_hotspot_cluster1,37,remaining,0,mdl2,a51f9dbc2a10ba4b,a01ab85962d78de0,-1,0.0,3,-0.43546169996261597,4,0.0011875088093802333,4,0.0541185699403286
control,pretrain,60,routing_persistent_hotspot_cluster1,37,remaining,1,specimen_transfer:+1x0.05,45637defabe96a1b,a01ab85962d78de0,-1,1099767.3199089766,3,-0.4355989694595337,4,0.0011303657665848732,4,0.0385342612862587
control,pretrain,60,routing_persistent_hotspot_cluster1,37,remaining,2,specimen_transfer:-1x0.05,acae59a7cb16e290,a01ab85962d78de0,-1,904137.9373935461,3,-0.43540358543395996,4,0.0012446516193449497,4,0.08121607452630997
control,pretrain,60,routing_persistent_hotspot_cluster1,37,remaining,3,specimen_transfer:+1x0.1,f9126f61041e82b9,a01ab85962d78de0,-1,1788107.2806797028,3,-0.43581050634384155,4,0.001073222840204835,4,0.07917216420173645
control,pretrain,60,routing_persistent_hotspot_cluster1,37,remaining,4,specimen_transfer:-1x0.1,a11f7fc1e0b107bf,a01ab85962d78de0,-1,857825.6142653227,3,-0.435322105884552,4,0.0013017941964790225,4,0.12082783877849579
control,pretrain,60,routing_persistent_hotspot_cluster1,43,4,0,mdl2,8cb5903aaf52eb69,983b8e271832a63d,-1,0.0,0,-0.3178898096084595,4,-7.390501559711993e-05,4,0.04016537219285965
control,pretrain,60,routing_persistent_hotspot_cluster1,43,4,1,specimen_transfer:+1x0.05,5157e99fbae85454,983b8e271832a63d,-1,-333610.9319534302,0,-0.3178504407405853,4,-8.135721873259172e-05,4,0.03084333799779415
control,pretrain,60,routing_persistent_hotspot_cluster1,43,4,2,specimen_transfer:-1x0.05,ad6ed379f1410745,983b8e271832a63d,-1,-982276.4847935736,0,-0.3179769515991211,4,-6.645265966653824e-05,4,0.07253986597061157
control,pretrain,60,routing_persistent_hotspot_cluster1,43,4,3,specimen_transfer:+1x0.1,174e127e7bfcf40c,983b8e271832a63d,-1,-96187.28356844187,0,-0.31795746088027954,4,-8.880956738721579e-05,4,0.0774601399898529
control,pretrain,60,routing_persistent_hotspot_cluster1,43,4,4,specimen_transfer:-1x0.1,de94051b6cab385b,983b8e271832a63d,-1,-478250.371794045,0,-0.3178497850894928,4,-5.900056567043066e-05,4,0.12253986299037933
control,pretrain,60,routing_persistent_hotspot_cluster1,43,remaining,0,mdl2,8cb5903aaf52eb69,983b8e271832a63d,-1,0.0,0,-0.3178898096084595,4,-7.390501559711993e-05,4,0.04016537219285965
control,pretrain,60,routing_persistent_hotspot_cluster1,43,remaining,1,specimen_transfer:+1x0.05,5157e99fbae85454,983b8e271832a63d,-1,-1216599.5147042274,0,-0.3178504407405853,4,-8.135721873259172e-05,4,0.03084333799779415
control,pretrain,60,routing_persistent_hotspot_cluster1,43,remaining,2,specimen_transfer:-1x0.05,ad6ed379f1410745,983b8e271832a63d,-1,-1014766.4071063399,0,-0.3179769515991211,4,-6.645265966653824e-05,4,0.07253986597061157
control,pretrain,60,routing_persistent_hotspot_cluster1,43,remaining,3,specimen_transfer:+1x0.1,174e127e7bfcf40c,983b8e271832a63d,-1,-821719.284034133,0,-0.31795746088027954,4,-8.880956738721579e-05,4,0.0774601399898529
control,pretrain,60,routing_persistent_hotspot_cluster1,43,remaining,4,specimen_transfer:-1x0.1,de94051b6cab385b,983b8e271832a63d,-1,-1264483.8997291327,0,-0.3178497850894928,4,-5.900056567043066e-05,4,0.12253986299037933
control,pretrain,60,routing_persistent_hotspot_cluster1,51,4,0,mdl2,f37d31e25bb7a669,168c2d5b00a214ca,-1,0.0,3,-0.27591970562934875,3,-0.0007012207061052322,3,0.040818337351083755
control,pretrain,60,routing_persistent_hotspot_cluster1,51,4,1,specimen_transfer:+1x0.05,3173b606f6a137f2,168c2d5b00a214ca,-1,247415.84696940333,3,-0.27579057216644287,3,-0.0005412616301327944,3,0.032159220427274704
control,pretrain,60,routing_persistent_hotspot_cluster1,51,4,2,specimen_transfer:-1x0.05,712c4c36e0bff96b,168c2d5b00a214ca,-1,-402744.25303059816,3,-0.276048868894577,3,-0.0008611796656623483,3,0.07277657091617584
control,pretrain,60,routing_persistent_hotspot_cluster1,51,4,3,specimen_transfer:+1x0.1,b551bf4df86c5bda,168c2d5b00a214ca,-1,1043963.1559546739,3,-0.27555298805236816,3,-0.0003813026996795088,3,0.07722343504428864
control,pretrain,60,routing_persistent_hotspot_cluster1,51,4,4,specimen_transfer:-1x0.1,0f16af0645a84b6f,168c2d5b00a214ca,-1,-705876.7440453097,3,-0.27629339694976807,3,-0.0010211386252194643,3,0.1227765679359436
control,pretrain,60,routing_persistent_hotspot_cluster1,51,remaining,0,mdl2,f37d31e25bb7a669,168c2d5b00a214ca,-1,0.0,3,-0.27591970562934875,3,-0.0007012207061052322,3,0.040818337351083755
control,pretrain,60,routing_persistent_hotspot_cluster1,51,remaining,1,specimen_transfer:+1x0.05,3173b606f6a137f2,168c2d5b00a214ca,-1,247415.84696940333,3,-0.27579057216644287,3,-0.0005412616301327944,3,0.032159220427274704
control,pretrain,60,routing_persistent_hotspot_cluster1,51,remaining,2,specimen_transfer:-1x0.05,712c4c36e0bff96b,168c2d5b00a214ca,-1,-402744.25303059816,3,-0.276048868894577,3,-0.0008611796656623483,3,0.07277657091617584
control,pretrain,60,routing_persistent_hotspot_cluster1,51,remaining,3,specimen_transfer:+1x0.1,b551bf4df86c5bda,168c2d5b00a214ca,-1,1043963.1559546739,3,-0.27555298805236816,3,-0.0003813026996795088,3,0.07722343504428864
control,pretrain,60,routing_persistent_hotspot_cluster1,51,remaining,4,specimen_transfer:-1x0.1,0f16af0645a84b6f,168c2d5b00a214ca,-1,-705876.7440453097,3,-0.27629339694976807,3,-0.0010211386252194643,3,0.1227765679359436
control,episode25,60,routing_persistent_hotspot_cluster1,0,4,0,mdl2,f3120f7372f25dfd,f3120f7372f25dfd,0,0.0,0,-0.3978244960308075,3,0.0,3,0.0
control,episode25,60,routing_persistent_hotspot_cluster1,0,4,1,specimen_transfer:+1x0.05,dc6dc36aa62127be,f3120f7372f25dfd,0,0.0,0,-0.39557164907455444,3,0.0020913623739033937,3,0.05000000447034836
control,episode25,60,routing_persistent_hotspot_cluster1,0,4,2,specimen_transfer:-1x0.05,beee58469efc390e,f3120f7372f25dfd,0,0.0,0,-0.4001598060131073,3,-0.0020913623739033937,3,0.05000000074505806
control,episode25,60,routing_persistent_hotspot_cluster1,0,4,3,specimen_transfer:+1x0.1,5320dc19d3b8ec81,f3120f7372f25dfd,0,0.0,0,-0.3933189809322357,3,0.0041827247478067875,3,0.10000000894069672
control,episode25,60,routing_persistent_hotspot_cluster1,0,4,4,specimen_transfer:-1x0.1,2e563137a7e37654,f3120f7372f25dfd,0,0.0,0,-0.4025816023349762,3,-0.004182725213468075,3,0.10000000149011612
control,episode25,60,routing_persistent_hotspot_cluster1,0,remaining,0,mdl2,f3120f7372f25dfd,f3120f7372f25dfd,0,0.0,0,-0.3978244960308075,3,0.0,3,0.0
control,episode25,60,routing_persistent_hotspot_cluster1,0,remaining,1,specimen_transfer:+1x0.05,dc6dc36aa62127be,f3120f7372f25dfd,0,0.0,0,-0.39557164907455444,3,0.0020913623739033937,3,0.05000000447034836
control,episode25,60,routing_persistent_hotspot_cluster1,0,remaining,2,specimen_transfer:-1x0.05,beee58469efc390e,f3120f7372f25dfd,0,0.0,0,-0.4001598060131073,3,-0.0020913623739033937,3,0.05000000074505806
control,episode25,60,routing_persistent_hotspot_cluster1,0,remaining,3,specimen_transfer:+1x0.1,5320dc19d3b8ec81,f3120f7372f25dfd,0,0.0,0,-0.3933189809322357,3,0.0041827247478067875,3,0.10000000894069672
control,episode25,60,routing_persistent_hotspot_cluster1,0,remaining,4,specimen_transfer:-1x0.1,2e563137a7e37654,f3120f7372f25dfd,0,0.0,0,-0.4025816023349762,3,-0.004182725213468075,3,0.10000000149011612
control,episode25,60,routing_persistent_hotspot_cluster1,6,4,0,mdl2,06718b61e3f46d75,06718b61e3f46d75,0,0.0,3,-1.553063988685608,3,0.0,3,0.0
control,episode25,60,routing_persistent_hotspot_cluster1,6,4,1,specimen_transfer:+1x0.05,c25379922d61431c,06718b61e3f46d75,0,1184603.3424310386,3,-1.5532983541488647,3,0.00023011380108073354,3,0.05000000074505806
