phase,state_index,state_id,scenario,generation_seed,epoch,world_seed,candidate,budget_fraction,smoothing,total_cost,patients_lost,completion_service_level,request_total,allocation_signature,shared_budget,local_interior_fraction,shared_budget_interior,rng_sha256
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b0.75_a0.25,0.75,0.25,682019254.7645609,546.0,0.47771696637998434,23.62499983906746,"0.069,0.070,0.075,0.071,0.087,0.032,0.021,0.020,0.024,0.023,0.037,0.038,0.039,0.038,0.031,0.017,0.015,0.014,0.016,0.014",31.500000000000007,1.0,True,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b0.75_a0.50,0.75,0.5,681959568.028824,546.0,0.47771696637998434,23.62500023245811,"0.070,0.070,0.076,0.070,0.077,0.043,0.021,0.019,0.026,0.026,0.032,0.035,0.036,0.035,0.031,0.022,0.017,0.017,0.015,0.014",31.500000000000007,1.0,True,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b0.75_a0.75,0.75,0.75,681209504.6183567,545.0,0.4781078967943706,23.625000339746478,"0.071,0.071,0.076,0.068,0.067,0.053,0.021,0.018,0.029,0.029,0.027,0.031,0.032,0.032,0.032,0.027,0.018,0.019,0.014,0.014",31.500000000000007,1.0,True,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b0.75_a1.00,0.75,1.0,681164248.3388258,545.0,0.4781078967943706,23.62499994635582,"0.073,0.072,0.077,0.066,0.057,0.064,0.022,0.017,0.031,0.032,0.022,0.028,0.028,0.029,0.032,0.032,0.019,0.022,0.013,0.014",31.500000000000007,1.0,True,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b1.00_a0.00,1.0,0.0,682781122.2488924,546.0,0.47849882720875686,31.500000000000007,"0.095,0.095,0.095,0.095,0.095,0.031,0.029,0.030,0.031,0.028,0.059,0.058,0.061,0.057,0.043,0.016,0.020,0.017,0.024,0.019",31.500000000000007,0.8,False,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b1.00_a0.25,1.0,0.25,682929674.1426059,546.0,0.4781078967943706,31.50000000000001,"0.095,0.095,0.095,0.095,0.095,0.045,0.029,0.028,0.034,0.032,0.051,0.052,0.055,0.052,0.043,0.023,0.021,0.020,0.022,0.019",31.500000000000007,0.8,False,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b1.00_a0.50,1.0,0.5,682185054.3233881,545.0,0.47849882720875686,31.50000000000001,"0.095,0.095,0.095,0.094,0.095,0.058,0.029,0.026,0.036,0.035,0.043,0.047,0.048,0.047,0.042,0.030,0.022,0.023,0.021,0.019",31.500000000000007,0.85,False,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b1.00_a0.75,1.0,0.75,682141541.8537713,545.0,0.47849882720875686,31.500000000000004,"0.095,0.095,0.095,0.091,0.090,0.072,0.029,0.025,0.039,0.039,0.036,0.042,0.043,0.043,0.043,0.036,0.024,0.026,0.019,0.019",31.500000000000007,0.85,False,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410002,b1.00_a1.00,1.0,1.0,681781820.6918671,545.0,0.47888975762314306,31.49999974966049,"0.095,0.095,0.095,0.090,0.077,0.086,0.029,0.024,0.042,0.043,0.030,0.038,0.038,0.039,0.043,0.044,0.026,0.029,0.018,0.019",31.500000000000007,0.85,True,951720763e0ed37000bb39fc443b7e41e43115da8bdd95a97f95bb97d3187d26
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b0.75_a0.00,0.75,0.0,666938351.7395945,499.0,0.4737841945288754,23.6250002682209,"0.067,0.069,0.074,0.073,0.095,0.022,0.020,0.021,0.022,0.020,0.042,0.041,0.043,0.041,0.031,0.012,0.014,0.012,0.017,0.014",31.500000000000007,0.95,True,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b0.75_a0.25,0.75,0.25,666130845.6549693,498.0,0.4737841945288754,23.62499983906746,"0.069,0.070,0.075,0.071,0.087,0.032,0.021,0.020,0.024,0.023,0.037,0.038,0.039,0.038,0.031,0.017,0.015,0.014,0.016,0.014",31.500000000000007,1.0,True,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b0.75_a0.50,0.75,0.5,666072592.1683125,498.0,0.4737841945288754,23.62500023245811,"0.070,0.070,0.076,0.070,0.077,0.043,0.021,0.019,0.026,0.026,0.032,0.035,0.036,0.035,0.031,0.022,0.017,0.017,0.015,0.014",31.500000000000007,1.0,True,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b0.75_a0.75,0.75,0.75,664872705.819316,497.0,0.4745440729483283,23.625000339746478,"0.071,0.071,0.076,0.068,0.067,0.053,0.021,0.018,0.029,0.029,0.027,0.031,0.032,0.032,0.032,0.027,0.018,0.019,0.014,0.014",31.500000000000007,1.0,True,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b0.75_a1.00,0.75,1.0,664930644.9403435,497.0,0.47416413373860183,23.62499994635582,"0.073,0.072,0.077,0.066,0.057,0.064,0.022,0.017,0.031,0.032,0.022,0.028,0.028,0.029,0.032,0.032,0.019,0.022,0.013,0.014",31.500000000000007,1.0,True,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b1.00_a0.00,1.0,0.0,666621314.9011045,497.0,0.47416413373860183,31.500000000000007,"0.095,0.095,0.095,0.095,0.095,0.031,0.029,0.030,0.031,0.028,0.059,0.058,0.061,0.057,0.043,0.016,0.020,0.017,0.024,0.019",31.500000000000007,0.8,False,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b1.00_a0.25,1.0,0.25,666569457.8556197,497.0,0.47416413373860183,31.50000000000001,"0.095,0.095,0.095,0.095,0.095,0.045,0.029,0.028,0.034,0.032,0.051,0.052,0.055,0.052,0.043,0.023,0.021,0.020,0.022,0.019",31.500000000000007,0.8,False,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b1.00_a0.50,1.0,0.5,665929961.2803617,497.0,0.4745440729483283,31.50000000000001,"0.095,0.095,0.095,0.094,0.095,0.058,0.029,0.026,0.036,0.035,0.043,0.047,0.048,0.047,0.042,0.030,0.022,0.023,0.021,0.019",31.500000000000007,0.85,False,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b1.00_a0.75,1.0,0.75,665791441.7660979,497.0,0.4745440729483283,31.500000000000004,"0.095,0.095,0.095,0.091,0.090,0.072,0.029,0.025,0.039,0.039,0.036,0.042,0.043,0.043,0.043,0.036,0.024,0.026,0.019,0.019",31.500000000000007,0.85,False,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,1,scheduled_rotation_forward__g99300000__t008,scheduled_rotation_forward,99300000,8,99410003,b1.00_a1.00,1.0,1.0,665732823.8007989,497.0,0.4745440729483283,31.49999974966049,"0.095,0.095,0.095,0.090,0.077,0.086,0.029,0.024,0.042,0.043,0.030,0.038,0.038,0.039,0.043,0.044,0.026,0.029,0.018,0.019",31.500000000000007,0.85,True,0534fbaf03f4bdeaa6493e7e5ac672d7f702512c55436e49a683beb0360b6d66
discovery,2,scheduled_rotation_forward__g99300000__t012,scheduled_rotation_forward,99300000,12,99410004,b0.75_a0.00,0.75,0.0,610891265.3750895,458.0,0.5060687795010115,23.624999678134923,"0.060,0.058,0.057,0.073,0.084,0.028,0.023,0.025,0.032,0.025,0.050,0.045,0.046,0.040,0.039,0.012,0.013,0.011,0.017,0.012",31.500000000000007,1.0,True,35f1a416219f5372006b3133e0c4d2a696de15b71a99798498c91abecbe68a88
