training_seed,scenario,step,configured_horizon,horizon,candidate_index,candidate_label,executed_action_id,discovery_seed_start,discovery_replications,discovery_total_cost,discovery_cost_advantage,validation_seed_start,validation_replications,validation_total_cost,validation_cost_advantage
60,routing_persistent_hotspot_cluster1,5,4,4,2,specimen_transfer:-1x0.05,b8a030b9aa3e7b75,103000500,3,89037438.64109965,-1947379.1530455947,107000500,5,88696478.60016716,-1503999.2470117807
60,routing_persistent_hotspot_cluster1,5,4,4,3,specimen_transfer:+1x0.1,c0ea5b9dfb4899b9,103000500,3,83267150.38577062,3822909.102283433,107000500,5,83456275.13647227,3736204.2166831046
60,routing_persistent_hotspot_cluster1,5,4,4,4,specimen_transfer:-1x0.1,849cad28cfb7faa4,103000500,3,89385481.55107634,-2295422.0630222857,107000500,5,89548558.20246023,-2356078.849304855
60,routing_persistent_hotspot_cluster1,5,remaining,47,0,mdl2,a204b2c10e678b9c,103000510,3,2489356441.7511544,0.0,107000510,5,2500269302.438611,0.0
60,routing_persistent_hotspot_cluster1,5,remaining,47,1,specimen_transfer:+1x0.05,83635b1df00850d5,103000510,3,2501221738.212189,-11865296.461034775,107000510,5,2498840614.8955727,1428687.5430383682
60,routing_persistent_hotspot_cluster1,5,remaining,47,2,specimen_transfer:-1x0.05,b8a030b9aa3e7b75,103000510,3,2515586723.789793,-26230282.03863859,107000510,5,2510952748.8063016,-10683446.367690563
60,routing_persistent_hotspot_cluster1,5,remaining,47,3,specimen_transfer:+1x0.1,c0ea5b9dfb4899b9,103000510,3,2498001287.271444,-8644845.520289421,107000510,5,2500210630.427369,58672.01124191284
60,routing_persistent_hotspot_cluster1,5,remaining,47,4,specimen_transfer:-1x0.1,849cad28cfb7faa4,103000510,3,2548330515.4789624,-58974073.727808,107000510,5,2540248425.5867863,-39979123.14817524
60,routing_persistent_hotspot_cluster1,6,4,4,0,mdl2,c884bbc4dee5f909,103000600,3,111359951.0899188,0.0,107000600,5,113645825.29619947,0.0
60,routing_persistent_hotspot_cluster1,6,4,4,1,specimen_transfer:+1x0.05,51c865972408e7fa,103000600,3,110612588.15404443,747362.9358743727,107000600,5,112509575.0807478,1136250.2154516727
60,routing_persistent_hotspot_cluster1,6,4,4,2,specimen_transfer:-1x0.05,88123a0014a5b16c,103000600,3,112566195.18094935,-1206244.091030538,107000600,5,114055709.17862713,-409883.8824276626
60,routing_persistent_hotspot_cluster1,6,4,4,3,specimen_transfer:+1x0.1,be27a4bab31be0d5,103000600,3,107683518.67203997,3676432.4178788364,107000600,5,109947433.43780832,3698391.858391151
60,routing_persistent_hotspot_cluster1,6,4,4,4,specimen_transfer:-1x0.1,503ccaa7366ef159,103000600,3,113556337.38763261,-2196386.2977138013,107000600,5,115194699.6319724,-1548874.3357729316
60,routing_persistent_hotspot_cluster1,6,remaining,46,0,mdl2,c884bbc4dee5f909,103000610,3,2550096503.7208123,0.0,107000610,5,2493170607.6183534,0.0
60,routing_persistent_hotspot_cluster1,6,remaining,46,1,specimen_transfer:+1x0.05,51c865972408e7fa,103000610,3,2553800242.779057,-3703739.058244705,107000610,5,2497803806.505661,-4633198.887307644
60,routing_persistent_hotspot_cluster1,6,remaining,46,2,specimen_transfer:-1x0.05,88123a0014a5b16c,103000610,3,2567337302.128849,-17240798.40803671,107000610,5,2503994942.330667,-10824334.712313652
60,routing_persistent_hotspot_cluster1,6,remaining,46,3,specimen_transfer:+1x0.1,be27a4bab31be0d5,103000610,3,2551700094.9765296,-1603591.2557172775,107000610,5,2498638513.6566863,-5467906.038332939
60,routing_persistent_hotspot_cluster1,6,remaining,46,4,specimen_transfer:-1x0.1,503ccaa7366ef159,103000610,3,2596908367.664766,-46811863.943953514,107000610,5,2540271400.7871943,-47100793.168840885
60,routing_persistent_hotspot_cluster1,7,4,4,0,mdl2,d84f4cbc8bfc3616,103000700,3,132822416.30076425,0.0,107000700,5,140187589.8159522,0.0
60,routing_persistent_hotspot_cluster1,7,4,4,1,specimen_transfer:+1x0.05,0a01735992b8b143,103000700,3,132293284.54680677,529131.7539574802,107000700,5,140015861.74444166,171728.07151055336
60,routing_persistent_hotspot_cluster1,7,4,4,2,specimen_transfer:-1x0.05,ce00912884a27388,103000700,3,135429646.65566882,-2607230.354904577,107000700,5,142557449.29811087,-2369859.482158661
60,routing_persistent_hotspot_cluster1,7,4,4,3,specimen_transfer:+1x0.1,ed39fe022d49e2ae,103000700,3,129575567.7879257,3246848.5128385425,107000700,5,138232899.70460954,1954690.1113426685
60,routing_persistent_hotspot_cluster1,7,4,4,4,specimen_transfer:-1x0.1,293d568cd05784d4,103000700,3,136456091.4136737,-3633675.112909451,107000700,5,145017549.76467746,-4829959.948725253
60,routing_persistent_hotspot_cluster1,7,remaining,45,0,mdl2,d84f4cbc8bfc3616,103000710,3,2423982487.491522,0.0,107000710,5,2426337851.888711,0.0
60,routing_persistent_hotspot_cluster1,7,remaining,45,1,specimen_transfer:+1x0.05,0a01735992b8b143,103000710,3,2422584165.7779765,1398321.7135453224,107000710,5,2423285457.704215,3052394.184495926
60,routing_persistent_hotspot_cluster1,7,remaining,45,2,specimen_transfer:-1x0.05,ce00912884a27388,103000710,3,2442675080.5593276,-18692593.067805767,107000710,5,2457744815.573877,-31406963.685165882
60,routing_persistent_hotspot_cluster1,7,remaining,45,3,specimen_transfer:+1x0.1,ed39fe022d49e2ae,103000710,3,2424546800.06784,-564312.576318264,107000710,5,2425165369.0169687,1172482.8717422485
60,routing_persistent_hotspot_cluster1,7,remaining,45,4,specimen_transfer:-1x0.1,293d568cd05784d4,103000710,3,2470526183.066258,-46543695.57473612,107000710,5,2493122438.8045816,-66784586.91587067
60,routing_persistent_hotspot_cluster1,8,4,4,0,mdl2,bb9a6fb33308092d,103000800,3,153388462.63830623,0.0,107000800,5,150902116.73722848,0.0
60,routing_persistent_hotspot_cluster1,8,4,4,1,specimen_transfer:+1x0.05,fa8f126d08e64718,103000800,3,152229398.06543365,1159064.572872579,107000800,5,150510685.57571205,391431.161516428
60,routing_persistent_hotspot_cluster1,8,4,4,2,specimen_transfer:-1x0.05,19808574ce1fa420,103000800,3,155964777.60179892,-2576314.9634926915,107000800,5,153768043.89086324,-2865927.153634757
60,routing_persistent_hotspot_cluster1,8,4,4,3,specimen_transfer:+1x0.1,b1ea5c022a92b6cd,103000800,3,150868486.49250838,2519976.1457978487,107000800,5,148297646.48609442,2604470.251134068
